area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Built-up  Area,18-Oct,4 Bedroom,Gollela,2957 - 3450,,,224.5,Shukrawar Peth
Super built-up  Area,19-Mar,2 BHK,Niareum,1326,2,2,78,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,,1325,2,2,60.8,Somwar Peth
Super built-up  Area,Ready To Move,3 BHK,SJlynro,1499,5,2,102,Swargate
Built-up  Area,Ready To Move,6 Bedroom,,3000,7,2,210,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,,1665,3,2,88,Uruli Devachi
Super built-up  Area,17-Sep,2 BHK,Tavenew,708,2,2,37,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Srire S,1060,2,2,58.06,Wadgaon Sheri
Plot  Area,Ready To Move,6 Bedroom,,710,6,3,160,Viman Nagar
Built-up  Area,Ready To Move,2 BHK,Saenti ,1000,2,2,70,Vishrant Wadi
Super built-up  Area,18-Dec,2 BHK,,1000,2,1,28.88,Wagholi
Super built-up  Area,Ready To Move,3 BHK,,1450,2,2,70,Wakadewadi
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,155,Wanowrie
Super built-up  Area,17-Aug,2 BHK,Bhmesy ,1296,2,3,80,Warje
Super built-up  Area,Ready To Move,3 BHK,,1540,3,2,90,Yerawada
Plot  Area,Ready To Move,4 Bedroom,Goardth,2894,4,1,245,Alandi Road
Super built-up  Area,Ready To Move,3 BHK,,1330,2,1,48,Ambegaon Budruk
Built-up  Area,Ready To Move,2 BHK,,1200,2,1,65,Anandnagar
Built-up  Area,Ready To Move,3 Bedroom,,1200,3,1,90,Aundh
Super built-up  Area,Ready To Move,3 BHK,IBityin,2502,3,3,138,Aundh Road
Built-up  Area,Ready To Move,2 BHK,KHityry,650,1,1,17,Balaji Nagar
Plot  Area,Ready To Move,3 Bedroom,BDensar,2400,2,1,150,Baner
Super built-up  Area,Ready To Move,2 BHK,Makeser,1007,2,2,43,Baner road
Super built-up  Area,Ready To Move,2 BHK,Maest N,1200,2,2,50,Bhandarkar Road
Super built-up  Area,Ready To Move,2 BHK,,966,2,2,49.9,Bhavani Peth
Built-up  Area,Ready To Move,3 BHK,,1630,2,1,98,Bibvewadi
Built-up  Area,Ready To Move,3 BHK,Brway G,1640,3,2,229,Bopodi
Built-up  Area,Ready To Move,2 BHK,,782,2,2,55.68,Budhwar Peth
Super built-up  Area,19-Apr,2 BHK,Oznuean,1260,2,2,66.78,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,,1800,3,3,120,Camp
Super built-up  Area,Ready To Move,3 BHK,Reeroce,1413,2,2,75,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,Sonviik,1116,2,1,51.91,Dapodi
Super built-up  Area,Ready To Move,3 BHK,DSgmax ,1530,2,1,45.9,Deccan Gymkhana
Built-up  Area,Ready To Move,4 Bedroom,,3700,4,1,225,Dehu Road
Built-up  Area,Ready To Move,3 Bedroom,Cetattu,2497,3,2,140,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,Vaens G,1540,2,3,64,Dhayari Phata
Super built-up  Area,18-Dec,3 BHK,,1436,3,1,74.75,Dhole Patil Road
Super built-up  Area,18-Jun,2 BHK,,1100,2,2,75,Erandwane
Plot  Area,Ready To Move,2 Bedroom,,276,3,3,23,Fatima Nagar
Super built-up  Area,Ready To Move,3 BHK,Moity S,1427,3,2,120,Fergusson College Road
Super built-up  Area,Ready To Move,3 BHK,HiahsLa,2061,3,1,200,Ganesh Peth
Super built-up  Area,18-Mar,4 BHK,SNontle,3067 - 8156,4,0,477,Ganeshkhind
Built-up  Area,Ready To Move,4 BHK,,2650,4,2,150,Ghorpade Peth
Super built-up  Area,22-Dec,3 BHK,Sabixtt,1282,2,2,68.52,Ghorpadi
Built-up  Area,Ready To Move,2 BHK,,1050,2,1,34,Gokhale Nagar
Built-up  Area,Ready To Move,3 BHK,Sragei ,1600,3,2,65,Gultekdi
Super built-up  Area,22-Jan,2 BHK,,945,2,1,54,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,SyidaCr,1500,2,1,78,Hadapsar
Plot  Area,Ready To Move,7 Bedroom,,950,7,0,115,Hadapsar Industrial Estate
Built-up  Area,Ready To Move,3 BHK,Jahts H,1870,3,3,110,Hingne Khurd
Plot  Area,Ready To Move,3 Bedroom,Inensba,1600,3,1,75,Jangali Maharaj Road
Super built-up  Area,Ready To Move,2 BHK,Itelaa ,880,1,1,16.5,Kalyani Nagar
Plot  Area,Ready To Move,4 Bedroom,,1200,4,0,210,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,Srier P,1535,3,2,83,Karve Road
Built-up  Area,Ready To Move,2 BHK,Wiowsri,950,2,1,57,Kasba Peth
Super built-up  Area,18-Aug,2 BHK,Derdsig,1360,2,1,65,Katraj
Super built-up  Area,19-Mar,2 BHK,Vaarech,1042 - 1105,2,0,54.005,Khadaki
Super built-up  Area,18-May,3 BHK,,1280,3,1,50.4,Khadki
Super built-up  Area,19-Jan,3 BHK,TiaksAa,1260,2,2,85.05,Kharadi
Built-up  Area,Ready To Move,8 Bedroom,,5000,8,,250,Kondhwa
Super built-up  Area,19-Dec,5 BHK,LedorSa,3050,5,1,213,Kondhwa Budruk
Super built-up  Area,Ready To Move,3 BHK,HMwerCo,1563.05,3,1,105,Kondhwa Khurd
Super built-up  Area,Ready To Move,2 BHK,,1000,2,1,60,Koregaon Park
Super built-up  Area,17-Jul,2 BHK,ViensRK,1167,2,1,43.76,Kothrud
Super built-up  Area,Ready To Move,7 BHK,,4000,7,2,225,Law College Road
Super built-up  Area,Ready To Move,3 BHK,Somumys,1828,3,,110,Laxmi Road
Super built-up  Area,Ready To Move,2 BHK,HoiewLa,890,2,1,35,Lulla Nagar
Super built-up  Area,Ready To Move,3 BHK,Dwity T,1612,3,3,46.74,Mahatma Gandhi Road
Plot  Area,Ready To Move,6 Bedroom,,1034,5,,185,Mangalwar peth
Super built-up  Area,19-Apr,3 BHK,Brama P,1710,4,2,91.31,Manik Bagh
Super built-up  Area,Ready To Move,2 BHK,VBownre,957,2,1,58,Market yard
Super built-up  Area,18-May,3 BHK,,1250,2,3,44,Model colony
Super built-up  Area,Ready To Move,3 BHK,Betatsi,2795,4,,235,Mukund Nagar
Super built-up  Area,Ready To Move,2 BHK,Prcan P,1125,2,2,50,Mundhawa
Super built-up  Area,18-Jul,2 BHK,Sryalan,1020,2,1,30.6,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,50,Nana Peth
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1735,3,3,135,Narayan Peth
Super built-up  Area,Ready To Move,3 BHK,G conTh,2050,3,1,145,Narayangaon
Plot  Area,Ready To Move,4 Bedroom,,3750,4,0,760,Navi Peth
Built-up  Area,Ready To Move,3 BHK,,1350,2,3,48,Padmavati
Super built-up  Area,18-May,2 BHK,SStusan,1063,2,1,32,Parvati Darshan
Super built-up  Area,Ready To Move,3 BHK,ETens G,1904,3,1,150,Pashan
Built-up  Area,Ready To Move,4 Bedroom,,4200,4,2,420,Paud Road
Super built-up  Area,Ready To Move,3 BHK,Hohnari,2000,3,1,175,Pirangut
Super built-up  Area,18-Dec,2 BHK,Kinuerg,1145 - 1340,2,0,43.49,Prabhat Road
Super built-up  Area,Ready To Move,3 BHK,Naods W,1425,2,2,75,Pune Railway Station
Super built-up  Area,Ready To Move,3 BHK,GMown E,1500,2,1,64.5,Rasta Peth
Built-up  Area,Ready To Move,2 BHK,GMown E,1060,2,1,60,Raviwar Peth
Built-up  Area,Ready To Move,3 BHK,Sancyra,1470,2,2,70,Sadashiv Peth
Super built-up  Area,Ready To Move,6 BHK,,1300,6,0,99,Sahakar Nagar
Super built-up  Area,Ready To Move,1 BHK,Jae 1hu,450,1,1,11,Salunke Vihar
Super built-up  Area,18-Apr,2 BHK,Prarkun,1152,2,1,64.5,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,GMown E,1350,2,1,56,Satara Road
Super built-up  Area,Ready To Move,3 BHK,Srshq T,1550,3,3,65,Senapati Bapat Road
Plot  Area,Ready To Move,3 Bedroom,,1500,3,2,100,Shaniwar Peth
Plot  Area,Ready To Move,5 Bedroom,,600,3,2,85,Shivaji Nagar
Plot  Area,Ready To Move,1 Bedroom,,400,1,0,14,Shukrawar Peth
Super built-up  Area,Ready To Move,1 BHK,Utntspa,705,1,2,67,Sinhagad Road
Built-up  Area,Ready To Move,2 BHK,GMown E,770,1,1,36,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Aniona ,1242,2,3,51,Swargate
Super built-up  Area,Ready To Move,3 BHK,Goateds,1700,3,2,155,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,Soitya ,2144,3,2,145,Uruli Devachi
Super built-up  Area,21-Jun,3 BHK,Saahaat,1704,3,2,110,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2,1,52,Wadgaon Sheri
Plot  Area,Ready To Move,3 Bedroom,,1846,3,2,300,Viman Nagar
Super built-up  Area,Ready To Move,2 BHK,,1340,2,2,55.7,Vishrant Wadi
Built-up  Area,Ready To Move,2 BHK,GMown E,1025,2,1,46,Wagholi
Super built-up  Area,Ready To Move,2 BHK,MCvarar,1015 - 1540,2,0,56.8,Wakadewadi
Super built-up  Area,Ready To Move,2 BHK,VRave E,1200,2,2,52,Wanowrie
Built-up  Area,18-Dec,4 Bedroom,,2250,4,1,110,Warje
Super built-up  Area,Ready To Move,3 BHK,MaidoPl,1550,2,3,80,Yerawada
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Alandi Road
Plot  Area,Ready To Move,7 Bedroom,,1800,7,1,250,Ambegaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Aiitya ,1200,2,2,60,Anandnagar
Super built-up  Area,Ready To Move,2 BHK,PuziaVe,1327,2,2,98,Aundh
Super built-up  Area,Ready To Move,2 BHK,,1186,2,2,58,Aundh Road
Built-up  Area,Ready To Move,3 Bedroom,,1783,3,1,115,Balaji Nagar
Super built-up  Area,Ready To Move,3 BHK,NRosete,1400,3,2,56,Baner
Super built-up  Area,Ready To Move,2 BHK,,980,2,1,48,Baner road
Super built-up  Area,Ready To Move,2 BHK,,1285,2,2,82,Bhandarkar Road
Super built-up  Area,Ready To Move,3 BHK,,912,2,1,70,Bhavani Peth
Built-up  Area,Ready To Move,2 BHK,Sancya ,1225,2,2,47.6,Bibvewadi
Super built-up  Area,Ready To Move,2 BHK,,1075,2,1,53,Bopodi
Built-up  Area,Ready To Move,3 BHK,MSingco,1260,2,2,54,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,Pyikad ,1282,2,2,48.7,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,CaIRSCr,1909,3,2,88,Camp
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1359,2,1,87,Chandan Nagar
Built-up  Area,Ready To Move,2 BHK,,1207,2,2,43.5,Dapodi
Plot  Area,Ready To Move,4 Bedroom,,1736,6,0,190,Deccan Gymkhana
Super built-up  Area,20-May,4 BHK,,2850,4,1,428,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,Emstael,1595,3,2,65,Dhankawadi
Built-up  Area,18-Jun,3 BHK,,1798,3,2,89,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,SNdri N,1475,3,2,78.29,Dhole Patil Road
Super built-up  Area,Ready To Move,3 BHK,HodhiSa,1580,3,3,100,Erandwane
Super built-up  Area,Ready To Move,2 BHK,Syonyph,1295,2,1,65,Fatima Nagar
Built-up  Area,Ready To Move,6 Bedroom,,3600,6,0,141,Fergusson College Road
Super built-up  Area,Ready To Move,1 BHK,Itvir M,589,1,1,27,Ganesh Peth
Super built-up  Area,Ready To Move,3 BHK,,1415,3,3,78,Ganeshkhind
Super built-up  Area,18-Dec,3 BHK,Klark L,1787,3,2,98.29,Ghorpade Peth
Super built-up  Area,Ready To Move,3 BHK,Klark L,1787,3,2,125,Ghorpadi
Super built-up  Area,Ready To Move,3 BHK,Piityra,1475,2,3,90,Gokhale Nagar
Built-up  Area,Ready To Move,4 BHK,,2000,4,1,75.5,Gultekdi
Super built-up  Area,19-Mar,2 BHK,AsastDe,984,2,1,44.28,Guruwar peth
Super built-up  Area,19-Dec,3 BHK,Jurdsig,1520 - 1740,,,74.82,Hadapsar
Super built-up  Area,Ready To Move,3 BHK,MacleK ,2405,4,2,260,Hadapsar Industrial Estate
Built-up  Area,Ready To Move,2 BHK,Brnia G,1080,2,2,72,Hingne Khurd
Plot  Area,Ready To Move,2 Bedroom,,1500,2,1,115,Jangali Maharaj Road
Super built-up  Area,Ready To Move,3 BHK,,1900,3,2,119,Kalyani Nagar
Super built-up  Area,19-Aug,2 BHK,,805,2,1,22.14,Karve Nagar
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1153,2,2,56.4,Karve Road
Super built-up  Area,Ready To Move,2 BHK,AlEcone,1148,2,2,60,Kasba Peth
Super built-up  Area,Ready To Move,2 BHK,Laowsba,1110,2,2,55,Katraj
Built-up  Area,Ready To Move,2 BHK,Saave R,1100,2,2,42,Khadaki
Super built-up  Area,Ready To Move,2 BHK,Anave S,1290,2,2,110,Khadki
Super built-up  Area,Ready To Move,3 BHK,,1500,2,1,65,Kharadi
Super built-up  Area,18-Apr,2 BHK,,1080,2,2,39,Kondhwa
Super built-up  Area,21-Jun,3 BHK,Saityat,1933,3,1,129,Kondhwa Budruk
Built-up  Area,Ready To Move,5 Bedroom,,3500,5,2,150,Kondhwa Khurd
Built-up  Area,Ready To Move,2 BHK,,1060,2,2,60,Koregaon Park
Super built-up  Area,18-Aug,1 BHK,SunceEs,645,1,1,16.45,Kothrud
Plot  Area,Ready To Move,8 Bedroom,,2600,8,2,180,Law College Road
Super built-up  Area,18-Sep,1 BHK,SunceEs,645,1,1,16.45,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,SJcerpe,1644,3,3,84,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,Supams ,1285,2,3,72.5,Mahatma Gandhi Road
Plot  Area,Ready To Move,3 Bedroom,,1200,3,1,90,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,CoapeSo,910,2,1,40,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,Bisic C,1577,3,1,70,Market yard
Plot  Area,17-May,3 Bedroom,Sreat R,4050,3,2,280,Model colony
Super built-up  Area,Ready To Move,3 BHK,Inntsa ,2420,3,2,185,Mukund Nagar
Super built-up  Area,Ready To Move,2 BHK,KHityry,800,1,1,20,Mundhawa
Built-up  Area,Ready To Move,2 BHK,,1060,2,2,55,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1270,2,2,93,Nana Peth
Super built-up  Area,18-Jun,2 BHK,,900,2,2,22.5,Narayan Peth
Built-up  Area,Ready To Move,2 Bedroom,,1280,2,1,69,Narayangaon
Plot  Area,Ready To Move,4 Bedroom,,1200,2,0,95,Navi Peth
Built-up  Area,Ready To Move,2 BHK,,1025,2,2,36,Padmavati
Super built-up  Area,17-Jun,2 BHK,Prarkun,1108,2,1,63,Parvati Darshan
Plot  Area,Ready To Move,5 Bedroom,,1200,5,,170,Pashan
Super built-up  Area,Ready To Move,3 BHK,Calyxy ,3045,3,2,170,Paud Road
Plot  Area,Ready To Move,4 Bedroom,Thessrm,2900,3,2,300,Pirangut
Super built-up  Area,Ready To Move,3 BHK,JJortom,1500,3,2,75.5,Prabhat Road
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1295,2,2,43.9,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,PrityTr,1162,2,1,59.9,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,Usquaya,1035,2,2,49.2,Raviwar Peth
Built-up  Area,Ready To Move,4 Bedroom,Natic T,1600,4,0,52.8,Sadashiv Peth
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,46,Sahakar Nagar
Super built-up  Area,18-Oct,3 BHK,DSapeSk,1866,2,2,61.58,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,Jahtsa ,700,1,1,26,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,Prillot,1804,3,2,120,Satara Road
Super built-up  Area,Ready To Move,2 BHK,,913,2,1,32,Senapati Bapat Road
Super built-up  Area,21-Dec,3 BHK,Sodgere,1868,3,2,131,Shaniwar Peth
Built-up  Area,Ready To Move,2 BHK,,883,2,1,45,Shivaji Nagar
Plot  Area,Ready To Move,2 Bedroom,,900,2,1,110,Shukrawar Peth
Super built-up  Area,Ready To Move,3 BHK,,1664,2,3,73.95,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,SoitaCa,2026,3,2,132,Somwar Peth
Super built-up  Area,Ready To Move,2 BHK,Soestin,1210,2,1,80.9,Swargate
Plot  Area,Ready To Move,4 Bedroom,Sreat R,4111,4,2,250,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,Alestrb,1762,3,3,91.45,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1252,3,3,55,Vadgaon Budruk
Built-up  Area,Ready To Move,2 BHK,Mauner ,861,2,1,34.5,Wadgaon Sheri
Built-up  Area,Ready To Move,3 BHK,Brnia G,1420,2,1,100,Viman Nagar
Plot  Area,Ready To Move,6 Bedroom,,1450,6,0,250,Vishrant Wadi
Built-up  Area,Ready To Move,3 BHK,GaicaVe,1490,3,1,78.8,Wagholi
Super built-up  Area,Ready To Move,3 BHK,,1075,2,1,46,Wakadewadi
Super built-up  Area,18-Aug,3 BHK,Saesttt,1425,2,2,94,Wanowrie
Built-up  Area,Ready To Move,2 BHK,Nae 2El,1200,2,1,40,Warje
Super built-up  Area,Ready To Move,3 BHK,,1280,2,2,56,Yerawada
Super built-up  Area,Ready To Move,2 BHK,Bhinglv,1084,2,2,50,Alandi Road
Super built-up  Area,18-Jul,2 BHK,SunceEs,1015,2,2,25.88,Ambegaon Budruk
Super built-up  Area,21-May,2 BHK,GolusLi,1017,2,1,51.25,Anandnagar
Super built-up  Area,Ready To Move,2 BHK,,1027,2,2,44,Aundh
Super built-up  Area,Ready To Move,2 BHK,Coush W,1069,2,2,45,Aundh Road
Super built-up  Area,Ready To Move,2 BHK,Prersis,1349,2,1,98.2,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,NaensGa,1005,2,1,50,Baner
Super built-up  Area,Ready To Move,2 BHK,Arzzo P,1417,2,3,75,Baner road
Plot  Area,18-Jan,3 Bedroom,,1475,3,1,98,Bhandarkar Road
Carpet  Area,Ready To Move,2 BHK,SMikaay,950,2,2,47,Bhavani Peth
Super built-up  Area,Ready To Move,4 BHK,Prave E,2000,4,0,120,Bibvewadi
Plot  Area,Ready To Move,3 Bedroom,,880,3,1,140,Bopodi
Super built-up  Area,Ready To Move,4 BHK,Ahriaup,1863,3,2,104,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,Priewhi,1010,2,1,29.5,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,Shodsth,1425,2,1,70,Camp
Super built-up  Area,Ready To Move,3 BHK,Swadeh ,1450,3,0,100,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,Somumys,1847,3,2,105,Dapodi
Super built-up  Area,Ready To Move,2 BHK,Soran U,1100,2,3,45,Deccan Gymkhana
Super built-up  Area,20-Dec,1 BHK,PrarePa,525,1,1,26,Dehu Road
Super built-up  Area,Ready To Move,3 BHK,Puestig,1665,3,2,95,Dhankawadi
Super built-up  Area,Ready To Move,4 BHK,Prntsrt,1664,4,3,65,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,Maerar ,1850,3,3,150,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,Vaesh T,1438,2,3,100,Erandwane
Super built-up  Area,Ready To Move,3 BHK,MaisePa,1560,3,3,115,Fatima Nagar
Super built-up  Area,18-Apr,2 BHK,,1350,2,1,55.55,Fergusson College Road
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1550,3,3,67,Ganesh Peth
Super built-up  Area,18-Apr,2 BHK,,1140,2,2,46.5,Ganeshkhind
Plot  Area,Ready To Move,5 Bedroom,,1200,5,2,180,Ghorpade Peth
Super built-up  Area,18-Dec,2 BHK,,850,2,2,27,Ghorpadi
Super built-up  Area,Ready To Move,2 BHK,Gotis A,1280,2,2,75,Gokhale Nagar
Built-up  Area,Ready To Move,2 BHK,,1170,2,2,52,Gultekdi
Super built-up  Area,Ready To Move,2 BHK,Puodse ,1113,2,1,51,Guruwar peth
Super built-up  Area,Ready To Move,2 BHK,Mileeou,1385,2,1,83.09,Hadapsar
Super built-up  Area,18-Apr,2 BHK,Prarkun,1128,2,1,65,Hadapsar Industrial Estate
Plot  Area,Ready To Move,2 Bedroom,,1200,2,2,128,Hingne Khurd
